,,,,Carniceria Samir,Star Cash&Carry,Chino centro,Chino cash&carry,Mercadona,Makro,,,,Presentacion,,
Categoria,Subcategoria,Producto,Cat. Nutricional,€/KG,€/KG,€/KG,€/KG,€/KG,€/KG,purchase_price,purchase_format_gr,€/gr,,Proveedor,Ultima actualización
Congelados,Carne congelada,Cabeza de lomo,Proteina,,,,,"€5,40",,"€5,40",1.000,"€0,0054",,Makro,27-8
Asiatico,varios,Cacahuete,Sin asignar,,,,,4,,"€4,00",1.000,"€0,0040",,Chino cash&carry,
Despensa,Desayunos,Cafe,Sin asignar,,,,,,"€7,90","€7,90",1.000,"€0,0079",,Makro,25/8/22 0:00
Frescos,Verduras,Calabacín,Verdura,,,,,"€1,60",,"€1,60",1.000,"€0,0016",GR,Makro,25/8/22
Frescos,Verduras,calabaza,Verdura,,,,,"€2,30",,"€2,30",1.000,"€0,0023",GR,Makro,25/8/22
Congelados,Pescado congelado,Calamar entero,Proteina,,,,,"€7,50","€6,26","€6,26",1.000,"€0,0063",,Makro,
Congelados,Pescado congelado,Calamar limpio troceado,Proteina,,,,,"€8,32","€8,51","€8,32",1.000,"€0,0083",,Mercadona,
Despensa,Despensa,Caldo de pescado,Sin asignar,,,,,"€1,00",,"€1,00",1.000,"€0,0010",,Makro,20/08/2025
Despensa,Despensa,Caldo de pollo deshidratado,Sin asignar,,,,,"€5,80",,"€5,80",1.000,"€0,0058",,Mercadona,20/08/2025
Despensa,Despensa,Caldo paella,Sin asignar,,,,,"2,25",,"€2,25",1.000,"€0,0023",,Makro,20/08/2025
Despensa,Despensa,Caldo vegetal,Sin asignar,,,,,"€7,08",,"€7,08",1.000,"€0,0071",,Mercadona,20/08/2025
Despensa,Especies,Canela,Sin asignar,,"€18,00",,,,,"€18,00",1.000,"€0,0180",Gr,Star Cash&Carry,
Despensa,Especies,Canela polvo,Sin asignar,,"€10,00",,,,,"€10,00",1.000,"€0,0100",,Star Cash&Carry,
BBQ,Otros,Carbon,Sin asignar,,,,,,"€2,15","€2,15",1.000,"€0,0022",,Makro,
Despensa,Especies,Cardamomo,Sin asignar,,"€79,80",,,,,"€79,80",1.000,"€0,0798",Gr,Star Cash&Carry,
Congelados,Carne congelada,Carillada de cerdo,Proteina,,,,,-,"€9,76","€9,76",1.000,"€0,0098",,Makro,27-8
Congelados,Carne congelada,Carne añojo guiso,Proteina,,,,,-,,"€0,00",,"€0,0000",,-,27-8
Frescos,Carne,Carne picada Cerdo,Proteina,,,,,"€5,50",,"€5,50",1.000,"€0,0055",,-,
Frescos,Carne,Carne picada mixto,Proteina,,,,,"€8,40",,"€8,40",1.000,"€0,0084",,Carniceria Samir,25/8/22
Frescos,Carne,Carne picada Vacuno,Proteina,"€11,50",,,,,,"€11,50",1.000,"€0,0115",,Carniceria Samir,25/8/22
despensa,Vegetariano,Carne soja,Proteina,,,,,"€13,50",,"€13,50",1.000,"€0,0135",Gr,Fruteria,
Frescos,Verduras,Cebolla,Verdura,,,,,"€2,25",,"€2,25",1.000,"€0,0023",GR,Makro,25/8/22
Congelados,Verduras congeladas,Cebolla brunoise,Verdura,,,,,,,"€0,00",,"€0,0000",GR,Makro,
Despensa,Despensa,Cebolla frita,Sin asignar,,,,,"€7,67",,"€7,67",1.000,"€0,0077",,Mercadona,20/08/2025
Frescos,Verduras,Cebolla Morada,Verdura,,,,,"€3,00",,"€3,00",1.000,"€0,0030",GR,Makro,25/8/22
Despensa,Desayunos,Cereales bolas chocolate,Sin asignar,,,,,"€2,50","€2,92","€2,50",1.000,"€0,0025",,Mercadona,
Despensa,Desayunos,Cereales bolas maiz,Sin asignar,,,,,"€2,60","2,92","€2,60",1.000,"€0,0026",,Mercadona,
Frescos,Verduras,Champiñones,Verdura,,,,,"€5,14",,"€5,14",1.000,"€0,0051",GR,Makro,25/8/22
Despensa,Especies,Chile en polvo,Sin asignar,,"€7,13",,,,,"€7,13",1.000,"€0,0071",,Star Cash&Carry,
Despensa,Especies,Chile molido,Sin asignar,,"€10,00",,,,,"€10,00",1.000,"€0,0100",,Star Cash&Carry,
Congelados,Pescado congelado,Chipiron puntilla,Proteina,,,,,"€8,33","€4,71","€4,71",1.000,"€0,0047",,Makro,
Despensa,Mexicano,Chipotles,Sin asignar,,,,,,"€4,70","€4,70",1.000,"€0,0047",,Makro,
Embutido,Embutido,Chorizo,Sin asignar,,,,,"€8,89","€8,96","€8,89",1.000,"€0,0089",,Mercadona,20/08/2025
Congelados,Carne congelada,Chuleta de cerdo,Proteina,,,,,"€5,60",,"€5,60",1.000,"€0,0056",,Makro,27-8
Frescos,Verduras,Cilantro,Verdura,,,,,"60,25","€21,60","€21,60",1.000,"€0,0216",Gr,Makro,25/8/22
Despensa,Especies,Cilantro semilla,Sin asignar,,"€11,10",,,,,"€11,10",1.000,"€0,0111",,Star Cash&Carry,
Despensa,Especies,clavo,Sin asignar,,,,,,"€55,20","€55,20",1.000,"€0,0552",Gr,Makro,
Despensa,Especies,Coco en polvo,Sin asignar,,"€3,99",,,,,"€3,99",1.000,"€0,0040",,Star Cash&Carry,
Congelados,Carne congelada,Codillo cerdo,Proteina,,,,,-,"€4,86","€4,86",1.000,"€0,0049",,Makro,27-8
Frescos,Verduras,Col,Verdura,,,,,"€2,12",,"€2,12",1.000,"€0,0021",GR,Makro,25/8/22
Asiatico,frescos,Col china,verdura,,,,"€2,50",,,"€2,50",1.000,"€0,0025",,Chino cash&carry,28/7/25 23:27
Congelados,Verduras congeladas,Coles de Bruselas,Verdura,,,,,"€1,76",,"€1,76",1.000,"€0,0018",GR,Makro,
Frescos,Verduras,coliflor,Verdura,,,,,"€2,20",,"€2,20",1.000,"€0,0022",GR,Makro,25/8/22
Congelados,Verduras congeladas,coliflor,Verdura,,,,,"€2,20",,"€2,20",1.000,"€0,0022",GR,Mercadona,
Despensa,Especies,Colorante Alimentario,Sin asignar,,,,,"€6,82","€3,61","€3,61",1.000,"€0,0036",,Makro,27/8/22 0:00
Despensa,Especies,Comino molido,Sin asignar,,"€9,23",,,,,"€9,23",1.000,"€0,0092",,Star Cash&Carry,
Despensa,Especies,Comino negro,Sin asignar,,"€20,41",,,,,"€20,41",1.000,"€0,0204",Gr,Star Cash&Carry,
Frescos,Carne,Contra muslo pollo S/H,Proteina,"€7,50",,,,"€6,50",,"€6,50",1.000,"€0,0065",,Carniceria Samir,25/8/22
Frescos,Carne,Contramuslo pollo,Proteina,"€3,90",,,,-,,"€3,90",1.000,"€0,0039",,Carniceria Samir,25/8/22
Despensa,Desayunos,Copos de avena,Sin asignar,,,,,"€1,40","€5,68","€1,40",1.000,"€0,0014",,Mercadona,25/8/22 0:00
Despensa,Desayunos,Cornflakes,Sin asignar,,,,,"€2,30","€2,92","€2,30",1.000,"€0,0023",,Mercadona,
Despensa,Desayunos,Cornflakes azúcar,Sin asignar,,,,,,,"€0,00",,"€0,0000",,-,25/8/22 0:00
Frescos,Carne,Costilla cerdo,Proteina,,,,,"€8,00",-,"€8,00",1.000,"€0,0080",,Mercadona,25/8/22
Congelados,Carne congelada,Costilla cerdo Iberico,Proteina,,,,,-,"€6,88","€6,88",1.000,"€0,0069",,Makro,27-8
Frescos,Carne,Costillar entero,Proteina,,,,,-,,"€0,00",,"€0,0000",,Makro,25/8/22
Despensa,Despensa,Cous cous,Sin asignar,,,,,"€1,93",,"€1,93",1.000,"€0,0019",,Mercadona,20/08/2025
Congelados,Carne congelada,Cuartos traseros,Proteina,"€3,80",,,,,,"€3,80",1.000,"€0,0038",,Makro,27-8
Congelados,Carne congelada,Cuello de cordero,Proteina,,,,,"€10,75",,"€10,75",1.000,"€0,0108",,Makro,27-8
Despensa,Especies,Curcuma,Sin asignar,,"€6,25",,,,,"€6,25",1.000,"€0,0063",,Star Cash&Carry,
Despensa,Especies,Curry,Sin asignar,,"€10,00",,,,,"€10,00",1.000,"€0,0100",,Star Cash&Carry,
Frescos,Verduras,Espinaca fresca,Verdura,,,,,"€4,13",,"€4,13",1.000,"€0,0041",GR,Makro,25/8/22 0:00
Congelados,Verduras congeladas,Espinacas,Verdura,,,,,"€4,13",,"€4,13",1.000,"€0,0041",GR,Makro,27-8
Congelados,Carne congelada,Falda cordero,Proteina,,,,,-,-,"€0,00",,"€0,0000",,-,27-8
Frescos,Carne,Falda vacuno,Proteina,,,,,,,"€0,00",,"€0,0000",,Makro,25/8/22
despensa,Pasta / Arroz,fideo de arroz,H.Carbono,,,,"4,27",,,"€4,27",1.000,"€0,0043",,Mercadona,
