Carniceria Samir	Star Cash&Carry	Chino centro	Chino cash&carry	Mercadona	Makro			Presentacion		
Categoria	Subcategoria	Producto	Cat. Nutricional	€/KG	€/KG	€/KG	€/KG	€/KG	€/KG	Precio mas bajo	€/gr		Proveedor	Ultima actualización
Frescos	Carne	Hamburguesa mixto	Proteina					0,75 €		0,75 €	0,75 €	Unidad	Mercadona	25/8/22
Frescos	Carne	Salchicha F	Proteina					6,73 €		6,73 €	0,01 €		Mercadona	25/8/22
Frescos	Despensa	Pan de barra	Sin asignar					0,40 €		0,40 €	0,40 €	Unidad	Mercadona	20/08/2025
Frescos	Despensa	Pan Hamburguesa	Sin asignar					0,21 €		0,21 €	0,21 €	Unidad	Mercadona	20/08/2025
Frescos	Despensa	Pan Hotdog	Sin asignar					0,15 €		0,15 €	0,15 €	Unidad	Mercadona	20/08/2025
Frescos	lacteos	Queso fresco burgos	Lacteos					4,10 €		4,10 €	0,00 €		Mercadona	
Frescos	lacteos	Queso mozzarella	Lacteos					7,76 €		7,76 €	0,01 €		Mercadona	
Frescos	Pescado	Salmon	Proteina						12,40 €	12,40 €	0,01 €		Makro	
Frescos	Verduras	coliflor	Verdura					2,20 €		2,20 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	Cilantro	Verdura					60,25	21,60 €	21,60 €	0,02 €	Gr	Makro	25/8/22
Frescos	Verduras	Ajo morado	Verdura					7,40 €	7,38 €	7,38 €	0,01 €	GR	Makro	25/8/22
Frescos	Verduras	Tomate cherri	Verdura					4,00 €		4,00 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	Champiñones	Verdura					5,14 €		5,14 €	0,01 €	GR	Makro	25/8/22
Frescos	Verduras	pimiento verde	Verdura					2,79 €		2,79 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	Berenjena	Verdura					1,95 €		1,95 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	Tomate Daniela	Verdura					2,07 €		2,07 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	Col	Verdura					2,12 €		2,12 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	Mezclum	Verdura					9,42 €		9,42 €	0,01 €		Makro	25/8/22
Frescos	Verduras	Patatas	Verdura					1,31 €		1,31 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	Patatas dulce	Verdura					3,40 €		3,40 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	Cebolla	Verdura					2,25 €		2,25 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	jengibre	Verdura					8,05 €		8,05 €	0,01 €	GR	Makro	25/8/22
Frescos	Verduras	Manzana Golden	Verdura					2,20 €		2,20 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	boniato	Verdura					3,40 €		3,40 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	Cebolla Morada	Verdura					3,00 €		3,00 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	Calabacín	Verdura					1,60 €		1,60 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	calabaza	Verdura					2,30 €		2,30 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	apio	Verdura					2,00 €		2,00 €	0,00 €	GR	Makro	25/8/22
Frescos	Verduras	Albahaca	Verdura					76,50 €		76,50 €	0,08 €	Gr	Makro	
Frescos	Verduras	Espinaca fresca	Verdura					4,13 €		4,13 €	0,00 €	GR	Makro	25/8/22 0:00
Frescos	verduras	Limon	Verdura					3,15		3,15 €	0,00 €	GR	Makro	25/8/22 0:00
Frescos	verduras	puerro	Verdura					4,80 €		4,80 €	0,00 €	GR	Mercadona	25/8/22
Frescos	Verduras	Brocoli	Verdura					2,75 €		2,75 €	0,00 €	GR	Mercadona	25/8/22
Frescos	Verduras	Pimiento roJo	Verdura					2,70 €		2,70 €	0,00 €	GR	Mercadona	25/8/22
Frescos	Verduras	Lechuga iceberg	Verdura					1,03 €		1,03 €	0,00 €	GR	Mercadona	25/8/22
Frescos	Verduras	Zanahoria	Verdura					1,15 €		1,15 €	0,00 €	GR	Mercadona	25/8/22
Frescos	Verduras	Melon	Verdura					0,95 €		0,95 €	0,00 €	GR	Mercadona	25/8/22
Frescos	Verduras	Sandia	Verdura					0,65 €		0,65 €	0,00 €	GR	Mercadona	25/8/22
Frescos	Verduras	banana	Verdura					1,40 €		1,40 €	0,00 €	GR	Mercadona	25/8/22
Frescos	Verduras	pepino	Verdura					1,60 €		1,60 €	0,00 €	GR	Mercadona	25/8/22 0:00
Frescos	Verduras	Romero	Especies y Aromaticas							0,00 €	0,00 €	GR	Mercadona	25/8/22 0:00
Frescos	Verduras	Tomillo 	Especies y Aromaticas							0,00 €	0,00 €	GR	Mercadona	25/8/22 0:00
Frescos	Verduras	aguacate	Verdura					4,60 €		4,60 €	0,00 €	GR	Mercadona	
Despensa	Despensa	Nuez picada	Sin asignar					12,66 €		12,66 €	0,01 €		Mercadona	20/08/2025
Frescos		pasas	Sin asignar					7,20 €		7,20 €	0,01 €		Mercadona	20/08/2025
Frescos	Verduras	Menta	Verdura					33,75 €		33,75 €	0,03 €	GR	Mercadona	25/8/22
